BLDGID,Area,Cool_Elec,Heat_Elec,IN_light_Elec,OUT_light_Elec,HVAC_Intensity,Light_Intensity,Heat_rejection,HVAC_Elec_Intensity,HVAC_Ngas_Intensity,Total_Elec,Total_Elec_Intensity,Heat_NatG,Total_NatG,Total_NatG_Intensity
2251,13851.12,171.46,0,1318.36,2604.58,29.87,283.22,69.41,29.87,251.79,6142.33,443.45,3400.24,3487.63,251.79
23,277.11,30.17,197.91,25.82,106.87,852.8,478.84,0,852.8,145.82,402.4,1452.1,0.14,40.41,145.82
24,754.84,35.14,274.72,70.33,106.87,424.52,234.76,0,424.52,61.54,588.58,779.74,6.18,46.45,61.54
25,754.85,35.41,277.03,70.33,106.87,428.05,234.76,0,428.05,61.32,591.25,783.27,6.02,46.29,61.32
257,6776.35,145.62,1215.98,631.36,106.87,212.49,108.94,0,212.49,45.1,2994.43,441.89,231.11,305.63,45.1
2726,7364.05,151,852.09,686.12,106.87,145.35,107.68,0,145.35,59.68,2750.46,373.5,359.86,439.47,59.68
273,4714.76,91.02,499.44,439.28,106.87,133.09,115.84,0,133.09,64.6,1741.6,369.39,247.33,304.57,64.6
2861,14018.56,260.49,1531.98,1306.13,106.87,135.72,100.8,0,135.72,63.15,5004.31,356.98,747.57,885.24,63.15
2868,2754.89,57.64,544.35,256.68,106.87,230.37,131.97,0,230.37,46.63,1330.04,482.79,85.81,128.46,46.63
29,212.72,15.84,130.23,19.82,106.87,707.89,595.58,0,707.89,190.84,302.91,1423.93,0.33,40.6,190.84
30,202.21,16.81,140.73,18.84,106.87,802.54,621.72,0,802.54,200.16,312.35,1544.72,0.2,40.47,200.16
305,23923.18,308.38,0,2277.03,2604.58,30.11,204.05,72.34,30.11,242.48,8720.5,364.52,5713.58,5800.97,242.48
31,321.52,28.32,186.16,29.96,106.87,691.73,425.58,0,691.73,126.43,397.96,1237.77,0.38,40.65,126.43
32,11525.83,243.75,1712.89,1073.88,106.87,179.76,102.44,0,179.76,50.56,4641.05,402.66,466.88,582.74,50.56
3225,97337.06,1204.84,0,9264.62,2604.58,28.92,121.94,279.97,28.92,236.63,27372.67,281.22,22945.56,23032.94,236.63
323,3632.11,73.88,549.13,338.41,106.87,181.94,122.6,0,181.94,53.79,1543.63,425,146.7,195.35,53.79
3283,1638.39,36.32,350.72,152.65,106.87,246.31,158.4,0,246.31,50.69,860.44,525.18,42.79,83.06,50.69
3296,40644.52,714.65,4135.01,3786.9,106.87,127.06,95.8,0,127.06,63.39,13954.09,343.32,2203.17,2576.64,63.39
329702,222535.19,2176.73,0,21181.08,2604.58,22.2,106.88,506.42,22.2,185.03,57734.03,259.44,41088.8,41176.18,185.03
33,287.75,18.15,148.93,26.81,106.87,599.07,464.58,0,599.07,142.65,340.73,1184.11,0.78,41.05,142.65
3346,96267.38,1000.66,0,9162.81,2604.58,24.24,122.24,236.45,24.24,232.47,26649.74,276.83,22291.52,22378.91,232.47
3353,11330.45,152.52,0,1078.44,2604.58,32.68,325.06,61.07,32.68,257.9,5530.27,488.09,2834.75,2922.14,257.9
3363,9498.55,200.66,1279.33,884.99,106.87,165.33,104.42,0,165.33,55.8,3706.41,390.21,431.83,529.99,55.8
3372,48280.9,527.98,0,4595.41,2604.58,25.22,149.13,124.12,25.22,203.18,14711.37,304.7,9722.48,9809.86,203.18
3375,12591.04,246.8,1377.74,1173.12,106.87,137.73,101.66,0,137.73,60.51,4530.87,359.85,636.78,761.92,60.51
34,287.76,17.47,143.21,26.81,106.87,576.17,464.58,0,576.17,143.01,334.14,1161.2,0.88,41.15,143.01
3416,43130.38,534.28,0,4105.18,2604.58,29.01,155.57,125.36,29.01,238.84,13583.47,314.94,10213.77,10301.16,238.84
3421,121960.34,1139.59,0,11608.28,2604.58,20.98,116.54,266.48,20.98,168.62,32669.8,267.87,20477.05,20564.43,168.62
3476,75573.74,750.56,0,7193.17,2604.58,22.52,129.64,175.3,22.52,180.77,21351.15,282.52,13574.27,13661.65,180.77
35,777.71,36.9,291.09,72.46,106.87,436.12,230.59,0,436.12,59.4,612.19,787.17,5.93,46.2,59.4
3518,184934.75,1671.26,0,17602.24,2604.58,20.28,109.26,394.23,20.28,170,48064.5,259.9,31351.65,31439.04,170
3553,312.69,41.61,376.51,29.13,106.87,1374.08,434.96,0,1374.08,129.15,603.34,1929.51,0.11,40.38,129.15
36,777.71,34.55,270.25,72.46,106.87,405.3,230.59,0,405.3,61.3,588.23,756.36,7.4,47.67,61.3
3684,1246.94,32.66,612.59,116.18,106.87,533.84,178.88,0,533.84,35.76,1038.93,833.18,4.32,44.59,35.76
37,12836.72,259.87,1601.7,1196.01,106.87,154.05,101.5,0,154.05,57.23,4826.63,376,607.32,734.65,57.23
3713,6121.09,135.55,1338.11,570.31,106.87,252.12,110.63,0,252.12,39.76,2957.76,483.21,174.45,243.4,39.76
3718,411.92,31.17,270.28,38.38,106.87,753.36,352.62,0,753.36,99.1,505.2,1226.45,0.55,40.82,99.1
38,426.33,29.88,249.49,39.72,106.87,675.31,343.85,0,675.31,96.34,485.86,1139.62,0.8,41.07,96.34
39,426.34,29.47,246.02,39.72,106.87,665.96,343.85,0,665.96,96.41,481.88,1130.27,0.83,41.1,96.41
3932,19327.27,227.46,0,1839.58,2604.58,30.37,229.94,100.88,30.37,277.8,7550.53,390.67,5281.67,5369.05,277.8
4,251.16,15.26,122.96,23.4,106.87,568.05,518.7,0,568.05,163.52,303.2,1207.21,0.8,41.07,163.52
41,11190.57,154.54,0,1065.13,2604.58,33.73,327.93,63.88,33.73,264.08,5505.99,492.02,2867.85,2955.24,264.08
419,59710.8,651.63,0,5683.32,2604.58,25.06,138.8,152.71,25.06,196.74,17567.75,294.21,11659.99,11747.37,196.74
45,309.11,26.93,178.5,28.8,106.87,688.96,438.92,0,688.96,131.49,385.88,1248.34,0.38,40.64,131.49
46,51734.1,725,3310.07,4820.13,106.87,84.22,95.24,0,84.22,71.57,15516.08,299.92,3250.01,3702.54,71.57
48,269.96,29.24,192.68,25.15,106.87,851.68,489.06,0,851.68,149.67,394.47,1461.2,0.14,40.41,149.67
49,11572.7,243.25,1696.82,1078.24,106.87,177.54,102.41,0,177.54,51.19,4633.73,400.4,476.14,592.42,51.19
4958,186219.86,1853.09,0,17724.55,2604.58,23.13,109.17,436.62,23.13,217.58,48912.15,262.66,40430.91,40518.3,217.58
5,288.21,17.2,139.65,26.85,106.87,561.75,463.99,0,561.75,143.02,330.35,1146.2,0.95,41.22,143.02
50,223.63,21.95,143.38,20.84,106.87,766.26,571.08,0,766.26,180.82,326.01,1457.8,0.17,40.44,180.82
5099,88732.3,895.65,0,8445.61,2604.58,22.96,124.53,209.99,22.96,185.8,24654.49,277.85,16398.64,16486.03,185.8
51,4257.49,99.29,922.11,396.68,106.87,251.85,118.27,0,251.85,39.08,2088.66,490.58,112.84,166.36,39.08
5100,56739.87,705.76,0,5400.55,2604.58,29.3,141.08,164.67,29.3,255.01,17063.91,300.74,14381.95,14469.34,255.01
5108,23463.31,262.84,0,2233.26,2604.58,28.45,206.19,115.61,28.45,243.68,8564.06,365,5630.05,5717.44,243.68
5113,87173.04,858.51,0,8297.2,2604.58,22.55,125.06,203.29,22.55,200.17,24230.88,277.96,17362.08,17449.46,200.17
5114,226759.69,2108.61,0,21583.17,2604.58,20.88,106.67,489.33,20.88,169.24,58482.04,257.9,38288.68,38376.07,169.24
5133,538351.89,5601.99,0,51240.76,2604.58,24.38,100.02,1339.26,24.38,247.46,137147.96,254.76,133130.72,133218.11,247.46
5152,90138.58,988.34,0,8579.46,2604.58,25.27,124.08,231.16,25.27,207.79,25212.22,279.71,18642.29,18729.67,207.79
5153,54238.02,687.62,0,5162.42,2604.58,29.79,143.2,160.73,29.79,250.89,16452.87,303.35,13520.21,13607.59,250.89
5160,64306.58,705.06,0,6120.75,2604.58,25.24,135.68,165.32,25.24,203.85,18731.22,291.28,13021.67,13109.06,203.85
5172,68877.34,716.86,0,6555.8,2604.58,24.19,133,169.42,24.19,227.26,19804.87,287.54,15565.76,15653.15,227.26
5178,46214.38,496,0,4398.72,2604.58,24.88,151.54,117.47,24.88,224.98,14177.45,306.78,10309.88,10397.27,224.98
5187,49671.04,608.87,0,4727.73,2604.58,28.6,147.62,142.19,28.6,233.33,15228.01,306.58,11502.24,11589.63,233.33
52,65038.67,663.11,0,6190.43,2604.58,23.21,135.23,156.8,23.21,178.32,18783.02,288.8,11510.41,11597.79,178.32
5277,40999.55,432.06,0,3902.37,2604.58,24.38,158.71,103.19,24.38,219.17,12851.23,313.45,8898.66,8986.05,219.17
53,4424.07,103.28,931.38,412.2,106.87,245.75,117.33,0,245.75,40.14,2139.19,483.53,122.71,177.56,40.14
5347,398666.41,3638.79,0,37945.38,2604.58,20.56,101.71,857.94,20.56,182.19,100716.17,252.63,72544.58,72631.96,182.19
55,35773.8,369.37,0,3404.98,2604.58,23.56,167.99,87.97,23.56,192.78,11515.77,321.91,6809.12,6896.51,192.78
56,150984.79,1421.09,0,14370.85,2604.58,21.29,112.43,338.1,21.29,183.21,39872.46,264.08,27573.95,27661.33,183.21
57,164.32,12.65,87.79,15.31,106.87,632.46,743.58,0,632.46,246.91,245.9,1496.5,0.3,40.57,246.91
5845,2680.74,60.1,518.04,249.77,106.87,228.21,133.04,0,228.21,47.11,1291.33,481.71,84.01,126.29,47.11
59,261.21,17.15,118.49,24.34,106.87,538.44,502.32,0,538.44,157.55,303.33,1161.21,0.88,41.15,157.55
5914,134.91,8.06,57.92,12.57,106.87,506.14,885.37,0,506.14,302.73,203.98,1511.97,0.57,40.84,302.73
599,9866.64,205.71,1391.71,919.29,106.87,171.8,104,0,171.8,53.38,3909.76,396.26,425.3,526.65,53.38
603,177629.75,1608.37,0,16906.94,2604.58,20.37,109.84,381.76,20.37,175.59,46284.93,260.57,31102.73,31190.12,175.59
6077,119099.21,1207.16,0,11335.96,2604.58,23.46,117.05,285.99,23.46,217.46,32259.61,270.86,25811.83,25899.21,217.46
61,3319.28,76.92,591.14,309.26,106.87,213.5,125.37,0,213.5,47.27,1524.64,459.33,110.65,156.9,47.27
620,414615.57,3400.91,0,39463.44,2604.58,18.26,101.46,795.16,18.26,151.03,103689.22,250.09,62530.34,62617.72,151.03
6213,33456.85,377.93,0,3184.45,2604.58,26.19,173.03,89.71,26.19,231.37,11026.66,329.58,7653.6,7740.99,231.37
6229,109508.18,1029.72,0,10423.07,2604.58,21.28,118.97,242.58,21.28,183.94,29632.88,270.6,20055.65,20143.04,183.94
6281,20591.53,380.3,2079.54,1918.54,106.87,127.38,98.36,0,127.38,63.96,7128.7,346.2,1121.29,1317.14,63.96
6291,140929.95,1322.96,0,13413.82,2604.58,21.26,113.66,312.61,21.26,183.37,37385.98,265.28,25755.58,25842.96,183.37
6343,120810.32,1147.49,0,11498.82,2604.58,21.55,116.74,271.47,21.55,188.09,32455.17,268.65,22635.87,22723.26,188.09
64,163.43,14.25,105.64,15.23,106.87,758.54,747.13,0,758.54,247.54,265.75,1626.13,0.18,40.45,247.54
643,181.54,28.87,179.5,16.91,106.87,1185.77,681.89,0,1185.77,222.07,360.92,1988.13,0.04,40.31,222.07
655,119167.37,1280.25,0,11342.44,2604.58,24.65,117.04,299,24.65,195.6,32419.16,272.05,23221.38,23308.77,195.6
656,19623.22,225.74,0,1867.75,2604.58,29.16,227.91,99.29,29.16,230.31,7602.64,387.43,4432.11,4519.49,230.31
657,1561.25,32.59,320.78,145.46,106.87,235.65,161.63,0,235.65,54.16,808.31,517.73,44.29,84.56,54.16
661,23262.74,263.55,0,2214.17,2604.58,28.5,207.14,115.04,28.5,216.07,8514.32,366.01,4938.96,5026.35,216.07
665,100071.74,1084.17,0,9524.91,2604.58,24.76,121.21,252.96,24.76,194.21,27652.57,276.33,19347.46,19434.84,194.21
668,71988.57,789.35,0,6851.93,2604.58,25.14,131.36,184.41,25.14,200.19,20650.87,286.86,14324.33,14411.71,200.19
671,46857.05,597.04,0,4459.89,2604.58,30.04,150.77,140.41,30.04,252.99,14580.39,311.17,11766.9,11854.28,252.99
675,19644.48,381.01,2926.03,1830.3,106.87,177.98,98.61,0,177.98,51.65,7799.9,397.05,827.25,1014.7,51.65
68,6803.81,144.17,945.76,633.92,106.87,169.84,108.88,0,169.84,54.28,2715.94,399.18,294.58,369.34,54.28
6823,1744.27,61.56,794.13,162.52,106.87,510.1,154.44,0,510.1,25.83,1369.26,785,4.78,45.05,25.83
6854,1370.27,64.78,794.53,127.67,106.87,660.71,171.17,0,660.71,30.36,1304.96,952.34,1.34,41.61,30.36
6855,579.31,39.52,331.67,53.98,106.87,660.5,277.66,0,660.5,71.62,613.27,1058.62,1.22,41.49,71.62
70,85153.09,1146.58,5948.23,7933.82,106.87,89.8,94.43,0,89.8,69.9,25945.07,304.69,5379.34,5952.32,69.9
7043,344360.91,3180.17,0,32776.54,2604.58,20.94,102.74,742.8,20.94,186.46,87481.01,254.04,64121.17,64208.56,186.46
71,10589.69,140.71,0,1007.94,2604.58,32.18,341.14,57.06,32.18,247.57,5333.73,503.67,2534.28,2621.66,247.57
7192,86599.51,909.51,0,8242.61,2604.58,24.32,125.26,213.96,24.32,216.9,24242.25,279.94,18696.05,18783.44,216.9
7196,28315.08,447.24,2009.68,2638.15,106.87,93.03,96.95,0,93.03,72.62,8789.94,310.43,1791.36,2056.32,72.62
72,370.72,31.24,207.78,34.54,106.87,668.67,381.46,0,668.67,110.05,433.96,1170.59,0.53,40.8,110.05
7200,138949.92,1442.52,0,13225.36,2604.58,23.77,113.93,336.95,23.77,197.82,37245.75,268.05,27400.21,27487.6,197.82
7236,60296.52,652.74,0,5739.07,2604.58,25.03,138.38,154.11,25.03,219.43,17713.06,293.77,13143.33,13230.72,219.43
7239,45468.04,463.81,0,4327.68,2604.58,23.46,152.46,110.62,23.46,200.86,13925.85,306.28,9045.48,9132.87,200.86
7240,14235.17,246.41,1235.61,1326.31,106.87,111.4,100.68,0,111.4,67.96,4733.77,332.54,827.82,967.4,67.96
7254,39508.94,421.65,0,3760.49,2604.58,25,161.1,101.78,25,240.35,12503.16,316.46,9408.62,9496,240.35
7297,82099.27,831.41,0,7814.27,2604.58,23.04,126.91,195.22,23.04,188.62,23013.01,280.31,15398.47,15485.86,188.62
7319,83361.25,835.5,0,7934.39,2604.58,22.93,126.43,197.16,22.93,200.61,23317.08,279.71,16635.67,16723.05,200.61
7336,171187.34,1612.75,0,16293.75,2604.58,21.42,110.4,383.74,21.42,193.78,44880.81,262.17,33085.42,33172.81,193.78
74,14361.41,178.71,0,1366.93,2604.58,29.84,276.54,72.23,29.84,227.18,6272.16,436.74,3175.26,3262.64,227.18
75,4766.52,109.14,994.14,444.1,106.87,243.07,115.59,0,243.07,40.43,2283.74,479.12,135.05,192.69,40.43
76,4209.18,101.2,858.59,392.17,106.87,239.93,118.56,0,239.93,40.82,2015.99,478.95,118.67,171.83,40.82
77,386.18,31.9,212.52,35.98,106.87,656.48,369.92,0,656.48,105.81,442.89,1146.86,0.59,40.86,105.81
78,11964.42,250.05,1734.01,1114.74,106.87,175.66,102.1,0,175.66,51.72,4764.53,398.23,499.18,618.85,51.72
79,148735.55,1753.85,13129.76,13857.87,106.87,107.32,93.89,0,107.32,60.43,47843.54,321.67,8306.51,8988.19,60.43
8063,52113.85,572.51,0,4960.24,2604.58,25.56,145.16,135.82,25.56,231.51,15690.42,301.08,11977.61,12065,231.51
8117,24590.49,264.73,0,2340.54,2604.58,27.1,201.1,116.31,27.1,227.13,8817.21,358.56,5497.96,5585.34,227.13
82,13307.54,180.46,0,1266.62,2604.58,31.55,290.9,75.35,31.55,294.42,6025.74,452.81,3830.67,3918.06,294.42
8330,54489.63,547.18,0,5186.37,2604.58,23.04,142.98,129.98,23.04,199.4,16149.75,296.38,10778.05,10865.43,199.4
8340,2521.97,126.52,1352.73,234.97,106.87,619.29,135.55,0,619.29,17.71,2207.48,875.3,3.12,44.67,17.71
8398,38841.21,395.36,0,3696.94,2604.58,23.17,162.24,93.01,23.17,195.31,12264.66,315.76,7498.62,7586.01,195.31
84,3563.75,69.94,435.56,332.04,106.87,150.99,123.16,0,150.99,59.52,1406.28,394.61,163.99,212.1,59.52
8402,114271.93,1230.76,0,10876.49,2604.58,24.94,117.97,288.7,24.94,220.94,31227.26,273.27,25159.35,25246.74,220.94
8403,72397.38,816.79,0,6890.84,2604.58,26.26,131.16,191.68,26.26,235.14,20834.19,287.78,16935.96,17023.34,235.14
8440,179723.14,1666.78,0,17106.19,2604.58,20.92,109.67,390.59,20.92,179.12,46899.25,260.95,32104.96,32192.35,179.12
8472,125306.64,1166.19,0,11926.78,2604.58,20.98,115.97,274.38,20.98,178.77,33495.38,267.31,22313.55,22400.94,178.77
8487,214475.04,1975.12,0,20413.9,2604.58,20.76,107.32,463.12,20.76,179.47,55428.54,258.44,38405.19,38492.58,179.47
8495,139.96,12.37,91.28,13.04,106.87,765.69,856.77,0,765.69,288.78,243.94,1742.92,0.15,40.42,288.78
8547,2985.71,137.1,1401.1,278.18,106.87,544.56,128.97,0,544.56,16.8,2370.62,793.99,6.22,50.17,16.8
86,235.84,15.07,110.81,21.97,106.87,552.58,546.34,0,552.58,174.18,287.58,1219.39,0.81,41.08,174.18
87,4034.71,101.22,983.67,375.92,106.87,282.16,119.66,0,282.16,33.77,2107.26,522.28,84.46,136.24,33.77
88,35991.79,604.96,3054.74,3353.4,106.87,109.11,96.14,0,109.11,66.14,11722.9,325.71,2046.54,2380.42,66.14
91,74022.45,745.45,0,7045.52,2604.58,23.13,130.37,176.72,23.13,201.07,21011.44,283.85,14796.01,14883.4,201.07
9170,68363.9,691.68,0,6506.93,2604.58,23.24,133.28,163.76,23.24,202.83,19611.73,286.87,13778.9,13866.29,202.83
9182,205939.86,1943.16,0,19601.52,2604.58,21.4,107.83,453.76,21.4,188.36,53458.92,259.59,38703.56,38790.95,188.36
9193,451433.65,4082.33,0,42967.81,2604.58,20.22,100.95,950.82,20.22,167.1,113547.33,251.53,75346.56,75433.94,167.1
92,10402.42,198.89,990.7,969.21,106.87,122.12,103.45,0,122.12,64.52,3599.45,346.02,565.15,671.18,64.52
9208,15686.07,208.73,0,1493.01,2604.58,32.1,261.23,83.5,32.1,253.91,6645.97,423.69,3895.51,3982.9,253.91
9225,83256.51,784.21,0,7924.42,2604.58,21.25,126.46,183.7,21.25,181.42,23151,278.07,15016.8,15104.19,181.42
9253,35258.34,362.03,0,3355.92,2604.58,23.43,169.05,85.86,23.43,197.03,11382.74,322.84,6859.51,6946.9,197.03
9256,21696.94,232.56,0,2065.13,2604.58,26.85,215.22,102.58,26.85,210.7,8080.56,372.43,4484.19,4571.57,210.7
9257,120683.73,1173.25,0,11486.77,2604.58,22.18,116.76,277.5,22.18,191.97,32499.72,269.3,23080.3,23167.68,191.97
9259,78638.04,833.68,0,7484.83,2604.58,24.51,128.3,196.31,24.51,215.44,22268.01,283.17,16854.02,16941.4,215.44
9307,203684.76,1855.74,0,19386.88,2604.58,20.38,107.97,431.02,20.38,167.65,52694.04,258.7,34060.88,34148.27,167.65
9321,41400.67,684.4,3820.59,3857.35,106.87,116.51,95.75,0,116.51,65.2,13774.75,332.72,2319.74,2699.32,65.2
9325,149309.94,1447.55,0,14211.44,2604.58,21.92,112.62,338.3,21.92,177.9,39552.85,264.9,26474.59,26561.98,177.9
9420,189.07,15.34,108.39,17.62,106.87,677.62,658.42,0,677.62,214.49,275.39,1456.5,0.28,40.55,214.49
9535,1996.72,46.12,397.27,186.04,106.87,234.99,146.7,0,234.99,49.63,1002.64,502.14,58.82,99.09,49.63
9567,800.43,19.88,204.2,74.58,106.87,291.43,226.69,0,291.43,68.14,511.14,638.58,14.27,54.54,68.14
9601,209583.13,1950.12,0,19948.29,2604.58,21.04,107.61,455.08,21.04,183.38,54282.21,259,38346.98,38434.36,183.38
9604,7713.67,139.66,0,734.19,2604.58,45.12,432.84,56.09,45.12,363.81,4692.32,608.31,2718.95,2806.33,363.81
9608,80476.08,799.12,0,7659.78,2604.58,22.86,127.55,189.47,22.86,217.41,22594.9,280.77,17408.78,17496.16,217.41
9610,69696.39,749.47,0,6633.76,2604.58,24.87,132.55,175.77,24.87,217.18,20057.34,287.78,15049.33,15136.71,217.18
9620,76241.89,777.88,0,7256.76,2604.58,23.43,129.34,182.76,23.43,202.35,21586.47,283.13,15340.35,15427.74,202.35
9623,75559.13,731.63,0,7191.78,2604.58,22,129.65,172.43,22,187.34,21308.63,282.01,14067.53,14154.91,187.34
9625,20465.59,284.21,0,1947.93,2604.58,35.82,222.45,123.4,35.82,291.76,7953.45,388.63,5883.63,5971.01,291.76
9655,21747.44,266.98,0,2069.94,2604.58,31.19,214.95,116.43,31.19,249.22,8187.78,376.49,5332.51,5419.9,249.22
9776,46534.27,555.43,0,4429.17,2604.58,28.06,151.15,130.89,28.06,258.21,14405.62,309.57,11928.27,12015.66,258.21
99,605.45,15.06,202.08,56.41,106.87,372.17,269.69,0,372.17,77.32,461.54,762.32,6.54,46.81,77.32
9923,128864.61,1253.93,0,12265.44,2604.58,22.08,115.39,294.07,22.08,183.16,34513.83,267.83,23515.62,23603,183.16
